chrom start1 stop1 start2 stop2 strains
0 10039728 10040207 10040213 10040807 3,13
0 10070679 10070767 10070730 10070908 15
0 10128453 10128536 10128466 10128544 12
0 10164056 10164461 10164481 10164577 8
0 10195594 10195723 10196499 10196811 2
0 10204361 10204475 10204378 10204494 8
0 10466476 10466747 10466816 10467071 20
0 10528498 10528980 10529563 10530011 12
0 10560993 10561092 10561289 10561420 1,17
0 10686792 10686876 10687270 10687358 2
0 10684741 10685068 10687312 10687551 7
0 11082344 11083723 11084055 11085513 2,3,6,8,9,10,17,19
0 11188760 11188843 11188792 11188869 2,14
0 11263990 11264174 11264037 11264215 13
0 11454199 11454786 11454200 11454798 6,8,9,20
0 11479580 11479755 11479586 11479758 4
0 11535053 11535271 11537002 11537096 10
0 11535513 11535625 11537417 11537526 2
0 11612604 11612902 11613639 11613733 2,17
0 1172484 1172563 1178933 1179048 9
0 11791812 11792887 11791821 11792896 2,8,9,12,15,19
0 115270 115685 118311 118715 19
0 11841757 11842736 11853977 11854748 1,3,4,5,9,11,12,13,15,16,18,19,20
0 11899658 11899849 11899819 11899924 18
0 11976337 11976578 11979022 11979310 12
0 12006469 12006545 12006773 12006849 4
0 12173462 12173763 12175409 12175684 11
0 12231658 12232071 12238342 12238883 8
0 12403882 12404089 12403919 12404121 14
0 12544338 12544698 12544626 12544932 2,6,8,9
0 12544750 12544838 12546397 12546601 1
0 12596845 12597020 12596968 12597053 8
0 12894471 12894670 12894474 12894671 8,11
0 1311025 1311257 1311707 1312123 5
0 13178989 13179102 13178999 13179134 18
0 13159657 13159733 13183408 13183484 5
0 13234031 13234248 13234057 13234341 6
0 13308150 13308434 13308217 13308500 2
0 13381981 13383073 13385514 13386348 3,6
0 13385592 13385743 13386464 13386716 11
0 13408714 13408860 13409559 13409762 1
0 1341315 1341469 1341369 1341538 11
0 13521555 13521919 13522694 13522843 8,10,13
0 1360250 1360726 1360393 1360761 10,17,19
0 13654638 13654779 13654672 13654780 12
0 13768117 13768340 13768140 13768370 8
0 13803259 13803485 13804541 13804705 17
0 13828382 13828514 13831628 13831961 2
0 13831683 13831791 13831897 13831961 2
0 13883257 13883502 13883287 13883514 12
0 13913653 13913758 13913666 13913789 7,9
0 13922287 13922382 13922295 13922391 3,18
0 14172239 14172315 14172382 14172458 8
0 14253136 14253218 14253428 14253504 17
0 14286294 14286432 14286709 14286834 1
0 143072 143468 143436 144002 1,3
0 1434187 1434625 1434913 1435491 8
0 14381664 14382189 14385106 14385604 7
0 14446153 14446229 14446229 14446305 4
0 14602982 14603092 14604642 14605035 9
0 14608438 14609178 14608440 14609179 5
0 14666251 14666590 14666255 14666591 9
0 14703937 14704176 14706024 14706284 13
0 14765340 14765549 14765430 14765647 16
0 14802290 14802494 14805065 14805322 13
0 15023729 15024383 15025692 15026407 1,3,5,11,19
0 15042152 15042432 15042629 15042820 17
0 15139699 15139837 15140237 15140490 17
0 153714 155227 153717 155228 8
0 15707277 15707353 15731021 15731097 6
0 15792832 15793005 15792844 15793011 5,17
0 15858722 15859027 15858730 15859056 1,2,6
0 156476 156766 159094 159503 7
0 15944832 15944915 15946815 15946907 17
0 15944998 15946168 15947112 15948170 8,9
0 16135484 16135696 16135495 16135712 6
0 16172247 16172564 16172300 16172603 16,20
0 16180236 16180311 16180253 16180314 7
0 16185603 16185842 16188897 16189127 4
0 16194884 16195087 16196815 16197002 7
0 16193301 16193484 16198271 16198470 16,18,20
0 16264723 16264799 16284570 16284646 8
0 1631349 1632269 1631350 1632283 1,3,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20
0 16389408 16389689 16389424 16389696 1,9,10,13,16
0 16414309 16414938 16415619 16416275 2,3,7,8,13,16
0 16450108 16450277 16450183 16450332 3,18
0 16525154 16525349 16529971 16530091 19
0 16522430 16522569 16533007 16533097 7
0 16525247 16525520 16536234 16536468 11,18,20
0 16520655 16520771 16536305 16536465 11,18
0 16689283 16690673 16689296 16690706 3,4,7,8,9,10,16,17
0 16710724 16711031 16711022 16711346 5
0 16750521 16750713 16750523 16750739 10
0 16810248 16810430 16810260 16810462 4
0 17077700 17078692 17077701 17078693 8
0 17498549 17498664 17498556 17498702 18
0 17514545 17515216 17514653 17515219 4
0 17523560 17523775 17523890 17524128 3
0 17547021 17547294 17547609 17547708 13,19
0 18450050 18450158 18452606 18452705 11,13
0 18741929 18742067 18746567 18746697 3,8,17
0 1895238 1895876 1896731 1897322 9
0 18980225 18980346 18991075 18991194 6,15,19
0 19210162 19210249 19210270 19210373 16
0 19273842 19274418 19286663 19287114 3,9
0 19275592 19276555 19288214 19288918 9
0 19277642 19277869 19290292 19290479 3,19
0 20096795 20097164 20096807 20097291 9
0 20111729 20111816 20121517 20121616 1
0 20114778 20114882 20124475 20124632 3
0 20174901 20175173 20175155 20175531 5
0 205771 206121 205839 206227 2
0 20846937 20847013 20859901 20859977 4
0 20848448 20848572 20861382 20861465 9
0 21013871 21014442 21014137 21014444 9
0 21026892 21027049 21026972 21027056 5
0 21097471 21097559 21110741 21110854 19
0 21193093 21193186 21193107 21193239 10
0 2122203 2122827 2125041 2125343 4
0 2125966 2126323 2126483 2126807 6
0 21629444 21629594 21648909 21649018 9
0 21886184 21886284 21893529 21893626 5
