0.45 CG1304-PA 10 19553993 19554881 0 6.19554263.19554392.6.19552342.19552486 6 19554263 19554392 6 19552342 19552486 | 10 
0.93 CG34454-PA 15 202051 202722 0 2.202336.202674.2.199394.199867 2 202336 202674 2 199394 199867 | 6 
1.0 CG11133-PA 22 22382276 22385778 1 2.22385566.22385828.2.22380914.22381141 2 22385566 22385828 2 22380914 22381141 | 16 
0.01 CG1976-PD 30 26915264 26947003 0 3.26933763.26934087.3.26933751.26934064 3 26933763 26934087 3 26933751 26934064 | 3 
0.01 CG1976-PD 30 26915264 26947003 0 3.26946625.26946900.3.26946621.26946882 3 26946625 26946900 3 26946621 26946882 | 1 
0.67 CG4181-PA 34 12913190 12913925 0 3.12913315.12913682.3.12912587.12912935 3 12913315 12913682 3 12912587 12912935 | 3 
1.0 CG42537-PA 52 2104291 2104701 1 3.2110307.2110557.3.2102352.2102621 3 2110307 2110557 3 2102352 2102621 | 13 
0.05 CG31901-PA 68 8079510 8082200 0 0.8081167.8081267.0.8081144.8081260 0 8081167 8081267 0 8081144 8081260 | 1 6 8 13 
0.85 CG32382-PB 74 7298355 7299364 0 2.7299037.7299216.2.7297924.7298043 2 7299037 7299216 2 7297924 7298043 | 1 
1.0 CG32282-PA 98 3212331 3212648 1 2.3212558.3212650.2.3210832.3210908 2 3212558 3212650 2 3210832 3210908 | 5 
0.66 CG18330-PA 126 1463603 1465411 1 2.1464578.1464803.2.1462282.1462391 2 1464578 1464803 2 1462282 1462391 | 9 14 
0.33 CG5409-PA 163 13333371 13334755 0 1.13334746.13335070.1.13334296.13334583 1 13334746 13335070 1 13334296 13334583 | 4 
0.93 CG3756-PA 180 4782407 4783621 0 0.4784527.4784838.0.4782498.4782803 0 4784527 4784838 0 4782498 4782803 | 14 
0.99 CG4572-PB 223 5594096 5595942 0 3.5597061.5597362.3.5594122.5594388 3 5597061 5597362 3 5594122 5594388 | 9 
0.67 CG18748-PC 225 3500696 3502444 1 3.3506239.3506551.3.3501272.3501589 3 3506239 3506551 3 3501272 3501589 | 1 
1.0 CG9881-PA 244 2469017 2469836 1 0.2472258.2472529.0.2463036.2463313 0 2472258 2472529 0 2463036 2463313 | 12 
0.07 CG3208-PA 289 5145789 5147983 0 6.5145254.5145948.6.5145204.5145848 6 5145254 5145948 6 5145204 5145848 | 1 3 4 7 18 20 
0.06 CG13990-PA 309 5947713 5950167 0 0.5948523.5948631.0.5948483.5948564 0 5948523 5948631 0 5948483 5948564 | 9 
1.0 CG9207-PA 346 6718236 6719023 1 0.6722632.6722948.0.6714828.6715103 0 6722632 6722948 0 6714828 6715103 | 11 
0.00 CG32149-PD 379 15214062 15233679 0 2.15235283.15235491.2.15233678.15233949 2 15235283 15235491 2 15233678 15233949 | 16 
0.11 CG2674-PH 384 94135 100630 0 0.101809.102100.0.99932.100220 0 101809 102100 0 99932 100220 | 1 
0.49 CG10246-PB 391 11468340 11470414 1 1.11474961.11475068.1.11469403.11469605 1 11474961 11475068 1 11469403 11469605 | 19 
1.0 CG6519-PA 394 8511096 8511681 1 2.8512457.8513130.2.8498341.8498514 2 8512457 8513130 2 8498341 8498514 | 8 
1.0 CG6519-PA 394 8511096 8511681 1 2.8513111.8513193.2.8508493.8508625 2 8513111 8513193 2 8508493 8508625 | 1 
1.0 CG6519-PA 394 8511096 8511681 1 2.8513315.8513895.2.8500236.8500515 2 8513315 8513895 2 8500236 8500515 | 8 
1.0 CG6519-PA 394 8511096 8511681 1 2.8513599.8514355.2.8507883.8508187 2 8513599 8514355 2 8507883 8508187 | 13 
1.0 CG6519-PA 394 8511096 8511681 1 2.8513785.8514363.2.8506572.8507213 2 8513785 8514363 2 8506572 8507213 | 8 
1.0 CG6519-PA 394 8511096 8511681 1 2.8515452.8516515.2.8502674.8503589 2 8515452 8516515 2 8502674 8503589 | 8 10 
1.0 CG6519-PA 394 8511096 8511681 1 2.8515565.8515880.2.8506169.8506941 2 8515565 8515880 2 8506169 8506941 | 16 
1.0 CG6519-PA 394 8511096 8511681 1 2.8517117.8517417.2.8502361.8502927 2 8517117 8517417 2 8502361 8502927 | 8 
1.0 CG6519-PA 394 8511096 8511681 1 2.8517931.8518113.2.8506219.8506430 2 8517931 8518113 2 8506219 8506430 | 1 
1.0 CG6519-PA 394 8511096 8511681 1 2.8518013.8519020.2.8505092.8506139 2 8518013 8519020 2 8505092 8506139 | 2 8 11 
1.0 CG6519-PA 394 8511096 8511681 1 2.8518155.8518355.2.8508456.8508876 2 8518155 8518355 2 8508456 8508876 | 8 
1.0 CG6519-PA 394 8511096 8511681 1 2.8518667.8519120.2.8497461.8498059 2 8518667 8519120 2 8497461 8498059 | 8 
1.0 CG6519-PA 394 8511096 8511681 1 2.8518772.8519186.2.8500624.8500772 2 8518772 8519186 2 8500624 8500772 | 1 
1.0 CG6519-PA 394 8511096 8511681 1 2.8518777.8519133.2.8506253.8506919 2 8518777 8519133 2 8506253 8506919 | 13 
1.0 CG6519-PA 394 8511096 8511681 1 2.8518887.8519388.2.8502448.8503253 2 8518887 8519388 2 8502448 8503253 | 8 
1.0 CG6519-PA 394 8511096 8511681 1 2.8519049.8519586.2.8504341.8504719 2 8519049 8519586 2 8504341 8504719 | 8 
1.0 CG6519-PA 394 8511096 8511681 1 2.8519459.8520189.2.8500848.8501422 2 8519459 8520189 2 8500848 8501422 | 11 
1.0 CG6519-PA 394 8511096 8511681 1 2.8520297.8520531.2.8500705.8501011 2 8520297 8520531 2 8500705 8501011 | 2 
1.0 CG6519-PA 394 8511096 8511681 1 2.8520302.8520938.2.8506776.8507738 2 8520302 8520938 2 8506776 8507738 | 1 
1.0 CG6519-PA 394 8511096 8511681 1 2.8520627.8520944.2.8504443.8505167 2 8520627 8520944 2 8504443 8505167 | 8 
1.0 CG6519-PA 394 8511096 8511681 1 2.8521181.8521640.2.8500872.8501546 2 8521181 8521640 2 8500872 8501546 | 10 
1.0 CG6519-PA 394 8511096 8511681 1 2.8521285.8522177.2.8505627.8506574 2 8521285 8522177 2 8505627 8506574 | 8 13 
1.0 CG6519-PA 394 8511096 8511681 1 2.8521316.8521943.2.8500015.8500622 2 8521316 8521943 2 8500015 8500622 | 2 
1.0 CG6519-PA 394 8511096 8511681 1 2.8521399.8521697.2.8497398.8498626 2 8521399 8521697 2 8497398 8498626 | 8 
1.0 CG6519-PA 394 8511096 8511681 1 2.8522363.8522666.2.8500416.8500977 2 8522363 8522666 2 8500416 8500977 | 8 
1.0 CG6519-PA 394 8511096 8511681 1 2.8522665.8523089.2.8504448.8504908 2 8522665 8523089 2 8504448 8504908 | 10 
1.0 CG6519-PA 394 8511096 8511681 1 2.8523294.8523810.2.8508231.8508724 2 8523294 8523810 2 8508231 8508724 | 4 
1.0 CG6519-PA 394 8511096 8511681 1 2.8523601.8524857.2.8505317.8506307 2 8523601 8524857 2 8505317 8506307 | 1 8 
1.0 CG6519-PA 394 8511096 8511681 1 2.8524267.8526072.2.8502756.8503632 2 8524267 8526072 2 8502756 8503632 | 13 
1.0 CG6519-PA 394 8511096 8511681 1 2.8524938.8525442.2.8502118.8502457 2 8524938 8525442 2 8502118 8502457 | 1 
1.0 CG6519-PA 394 8511096 8511681 1 2.8525769.8526265.2.8508383.8508564 2 8525769 8526265 2 8508383 8508564 | 2 
1.0 CG6519-PA 394 8511096 8511681 1 2.8526404.8526534.2.8501627.8501861 2 8526404 8526534 2 8501627 8501861 | 8 
0.33 CG4381-PA 417 12912082 12912840 1 3.12913315.12913682.3.12912587.12912935 3 12913315 12913682 3 12912587 12912935 | 3 
0.06 CG10958-PA 423 7600116 7602664 1 6.7599934.7600264.6.7599314.7599679 6 7599934 7600264 6 7599314 7599679 | 3 
0.02 CG17760-PB 506 9222172 9225020 1 1.9221848.9222236.1.9218438.9218846 1 9221848 9222236 1 9218438 9218846 | 9 
0.05 CG17759-PK 609 9208910 9218930 0 1.9221848.9222236.1.9218438.9218846 1 9221848 9222236 1 9218438 9218846 | 9 
1.0 CG33162-PA 617 8501597 8502718 1 2.8512457.8513130.2.8498341.8498514 2 8512457 8513130 2 8498341 8498514 | 8 
1.0 CG33162-PA 617 8501597 8502718 1 2.8513315.8513895.2.8500236.8500515 2 8513315 8513895 2 8500236 8500515 | 8 
0.04 CG33162-PA 617 8501597 8502718 1 2.8515452.8516515.2.8502674.8503589 2 8515452 8516515 2 8502674 8503589 | 8 10 
0.32 CG33162-PA 617 8501597 8502718 1 2.8517117.8517417.2.8502361.8502927 2 8517117 8517417 2 8502361 8502927 | 8 
1.0 CG33162-PA 617 8501597 8502718 1 2.8518667.8519120.2.8497461.8498059 2 8518667 8519120 2 8497461 8498059 | 8 
1.0 CG33162-PA 617 8501597 8502718 1 2.8518772.8519186.2.8500624.8500772 2 8518772 8519186 2 8500624 8500772 | 1 
0.24 CG33162-PA 617 8501597 8502718 1 2.8518887.8519388.2.8502448.8503253 2 8518887 8519388 2 8502448 8503253 | 8 
1.0 CG33162-PA 617 8501597 8502718 1 2.8519459.8520189.2.8500848.8501422 2 8519459 8520189 2 8500848 8501422 | 11 
1.0 CG33162-PA 617 8501597 8502718 1 2.8520297.8520531.2.8500705.8501011 2 8520297 8520531 2 8500705 8501011 | 2 
1.0 CG33162-PA 617 8501597 8502718 1 2.8521181.8521640.2.8500872.8501546 2 8521181 8521640 2 8500872 8501546 | 10 
1.0 CG33162-PA 617 8501597 8502718 1 2.8521316.8521943.2.8500015.8500622 2 8521316 8521943 2 8500015 8500622 | 2 
1.0 CG33162-PA 617 8501597 8502718 1 2.8521399.8521697.2.8497398.8498626 2 8521399 8521697 2 8497398 8498626 | 8 
1.0 CG33162-PA 617 8501597 8502718 1 2.8522363.8522666.2.8500416.8500977 2 8522363 8522666 2 8500416 8500977 | 8 
0.54 CG33162-PA 617 8501597 8502718 1 2.8524938.8525442.2.8502118.8502457 2 8524938 8525442 2 8502118 8502457 | 1 
0.97 CG33162-PA 617 8501597 8502718 1 2.8526404.8526534.2.8501627.8501861 2 8526404 8526534 2 8501627 8501861 | 8 
0.02 CG14995-PA 622 4054779 4063000 0 2.4055843.4055970.2.4055820.4055943 2 4055843 4055970 2 4055820 4055943 | 10 
0.12 CG42612-PC 645 1407296 1433684 0 3.1416421.1416574.3.1413531.1413683 3 1416421 1416574 3 1413531 1413683 | 12 
0.01 CG17149-PA 670 19803464 19807304 1 2.19803224.19803507.2.19802761.19803049 2 19803224 19803507 2 19802761 19803049 | 16 
0.28 CG10494-PA 682 17957517 17960523 0 1.17958006.17958344.1.17955209.17955542 1 17958006 17958344 1 17955209 17955542 | 9 
0.03 CG11066-PA 711 2515030 2529164 0 1.2520772.2521121.1.2520754.2521092 1 2520772 2521121 1 2520754 2521092 | 3 
1.0 CG14040-PA 713 4866261 4868030 1 0.4868300.4868549.0.4865420.4865683 0 4868300 4868549 0 4865420 4865683 | 13 
