chrom start1 stop1 start2 stop2 strains
0 99932 100220 101809 102100 1
0 10288678 10289047 10288755 10289094 6
0 10317892 10318016 10320152 10320303 17
0 10416133 10416331 10416152 10416343 1
0 10845064 10845326 10845077 10845347 2
0 11214505 11214789 11218897 11219161 2
0 11213928 11214231 11218932 11219262 18,19
0 11522417 11522691 11526051 11526363 10
0 12108547 12108703 12111749 12111850 12
0 124186 124324 124200 124329 2
0 12513121 12513333 12513146 12513363 7
0 12702638 12702949 12702699 12702970 18
0 12832723 12832980 12834831 12835101 17
0 13076379 13076775 13078265 13078565 6
0 13462873 13463170 13466367 13466701 4
0 13546280 13546601 13551937 13552279 2,3,5,13,14,18,19
0 13735231 13735338 13738214 13738425 4,7
0 13758108 13758209 13758123 13758272 17
0 13837426 13837595 13839075 13839284 9
0 13851682 13851793 13851688 13851817 5
0 13940471 13940747 13945677 13945968 11
0 14561290 14561379 14561291 14561391 15
0 1458239 1458329 1460114 1460323 2
0 1459358 1459704 1461352 1461505 10
0 14666003 14666287 14670734 14671041 17
0 146004 147168 147141 148072 11
0 15177593 15177886 15179197 15179600 3
0 15400145 15400419 15402146 15402471 2
0 15442908 15443434 15460346 15460870 1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0 15513445 15513657 15513461 15513662 6,12,15
0 15535240 15535571 15537835 15538184 5,20
0 15534738 15535042 15538040 15538328 1,2,3,4,6,7,8,9,10,11,14,15,17,19
0 15568661 15569034 15570497 15570808 3
0 15737 15923 15750 15933 15
0 15898648 15898898 15898674 15899191 3
0 16122092 16122197 16122146 16122222 1,2
0 16354240 16354481 16357517 16357771 18
0 16554250 16554416 16554269 16554436 16
0 16590235 16590499 16590238 16590543 4
0 16809507 16809652 16809545 16809755 6,13
0 17014618 17014726 17014668 17014805 4
0 17017702 17017912 17018297 17018574 8,15,19
0 17174195 17174483 17175484 17175796 17
0 17188475 17188809 17188488 17188832 4,15
0 1720519 1720721 1720528 1720740 9,10,15
0 17308903 17309183 17315033 17315358 18
0 17923852 17924064 17925869 17926092 19
0 18080640 18080955 18081169 18081499 10
0 18141949 18142187 18142819 18143128 9
0 18165195 18165519 18165438 18165620 5
0 18501381 18501526 18501401 18501532 4
0 18555351 18555606 18555385 18555620 2
0 18761540 18761743 18764981 18765245 20
0 1920649 1920805 1920653 1920807 14
0 19235056 19235334 19235090 19235412 5
0 19304888 19304984 19304889 19304993 9
0 19450296 19450603 19450825 19451112 1
0 19581657 19581810 19583068 19583240 18
0 19709774 19710039 19711084 19711301 4
0 19874440 19874775 19877471 19877808 11
0 19988201 19988289 19988205 19988292 20
0 2003062 2003326 2007319 2007553 10
0 20082811 20082894 20098526 20098661 8
0 20280595 20280701 20280617 20280723 20
0 20279429 20279714 20280718 20280987 11
0 20314482 20314587 20314496 20314590 10
0 20385412 20385524 20385416 20385525 20
0 20451619 20452011 20454589 20454944 6
0 20609830 20610122 20610092 20610371 13
0 20636991 20637303 20637479 20637756 13
0 20644468 20644809 20650633 20650994 5
0 20703966 20704303 20706565 20706910 11
0 20781198 20781499 20787236 20787555 1
0 20839968 20840323 20842412 20842758 2,5,7,8,9,10,15,16,18,19
0 2090721 2090908 2091400 2091521 16
0 20923845 20924162 20932919 20933272 11
0 21035448 21035637 21035450 21035646 1,2
0 21077506 21077754 21077873 21078166 18
0 21095685 21095972 21096047 21096305 1
0 21196664 21196763 21196681 21196778 8,9
0 21269949 21270257 21271425 21271728 16
0 21336241 21336585 21352977 21353276 2
0 21475593 21475933 21478652 21479001 3,6
0 21478801 21479124 21483270 21483569 16,18
0 21513268 21513456 21513271 21513474 15,18
0 21512604 21512710 21515875 21515965 3,10
0 21894578 21894875 21894610 21894891 19
0 21991476 21991738 21993896 21994149 1,8,17
0 21998307 21998572 21999610 21999889 13
0 2196932 2197261 2201368 2201699 2
0 22135540 22135859 22137202 22137508 12
0 22201030 22201221 22203133 22203288 7
0 22881359 22881616 22883859 22884258 3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20
0 22884871 22885139 22884998 22885146 15
0 22939914 22940229 22941513 22941802 12
0 22923653 22923974 22948039 22948372 10
0 23155883 23156107 23155896 23156122 2
0 2413072 2413417 2414256 2414571 7
0 2463036 2463313 2472258 2472529 12
0 2545228 2545525 2545769 2546077 10
0 2720884 2721132 2721484 2721641 13
0 2874676 2874987 2878120 2878467 8
0 2923518 2923628 2923538 2923633 2,4,7,8
0 2931797 2932019 2943926 2944012 1,4,7,8,10,14
0 302769 303050 303004 303287 17
0 3049187 3049466 3049739 3050029 8
0 3155069 3155348 3155681 3156020 8
0 3663421 3663523 3667808 3667903 1
0 3827252 3827503 3831035 3831295 11
0 4292675 4293090 4294762 4295059 9
0 4378526 4378676 4381898 4382397 13
0 4381704 4382590 4381989 4382626 1,4,6,7,8,9,15,17,18,19,20
0 4471387 4471702 4471980 4472287 15
0 4782498 4782803 4784527 4784838 14
0 4865420 4865683 4868300 4868549 13
0 4979501 4979647 4983186 4983272 6
0 4979973 4980055 4987660 4987801 12
0 4979544 4980060 4987957 4988055 2,3,20
0 5012451 5012759 5013224 5013560 10
0 5047780 5047880 5047864 5048082 9
0 5047995 5048097 5047998 5048128 15,18
0 5071444 5071613 5073691 5073826 6,8,10,14,15,18,19
0 5069930 5070041 5075310 5075704 3
0 5176248 5176330 5176279 5176440 3
0 538333 538704 540742 541086 7
0 5443337 5443507 5443440 5443626 9
0 5498665 5499005 5503905 5504227 7
0 5563794 5564136 5566546 5566837 7
0 562049 562260 562055 562465 2,6,7,14
0 5838490 5838776 5841771 5842009 17
0 5948483 5948564 5948523 5948631 9
0 6152814 6153124 6166129 6166401 13
0 6175285 6175620 6178020 6178345 4
0 6202024 6202206 6202033 6202230 8
0 636253 636562 639232 639519 18
0 6483354 6483645 6485321 6485615 4
0 6520260 6520540 6520362 6520638 6
0 6585998 6586245 6587313 6587655 4
0 6710420 6710511 6710439 6710553 3
0 6714828 6715103 6722632 6722948 11
0 6741556 6741747 6742052 6742190 14
0 736512 736748 739373 739495 18
0 7734609 7734850 7734623 7734857 7
0 7975974 7976302 7976079 7976334 10,17
0 8081144 8081260 8081167 8081267 1,6,8,13
0 9468950 9469309 9473170 9474185 3,9,11,13,16,17,18,19
0 9472957 9473199 9473460 9473589 1,3,4,5,6,7,9,11,18,20
0 9469705 9469763 9475693 9475751 1
0 9501359 9501667 9501677 9501936 2
0 9597660 9598354 9598046 9598368 3,5,7,19
0 9596920 9597057 9598262 9598370 3,5,19
0 9596936 9598175 9599989 9600760 3,6,8,9,10,16,19,20
0 9600030 9600142 9600047 9600668 4,7,13
0 9858502 9858661 9867233 9867394 19
1 1002712 1003047 1003156 1003474 2
1 10098916 10099169 10098929 10099177 6
1 10181413 10181705 10185653 10185984 5
1 10189854 10190113 10194447 10194723 17
1 10287508 10287813 10288566 10288872 4
1 1035442 1035783 1035720 1036053 5
1 10380975 10381101 10381830 10382039 3,12
1 10549764 10550072 10556346 10556652 8,13,17,18
1 10542146 10542363 10561915 10562279 9,16
1 10683216 10683388 10684868 10685129 4
1 10685645 10685902 10686619 10686764 13
1 10738655 10738842 10740445 10740692 17
1 10753192 10753622 10758620 10758970 9
1 11124615 11125010 11127492 11127885 6
1 9601 9678 11134 11255 1
1 11121478 11121657 11143141 11143456 6,7,14
1 11143496 11143921 11148986 11149224 1,2,6,7,8,13,15,16,18,19
1 11148342 11148672 11150140 11150406 1
1 11337864 11338029 11339423 11339645 1,14
1 11464170 11464508 11466347 11466660 2
1 11463409 11463707 11466942 11467239 11
1 11469403 11469605 11474961 11475068 19
1 11501482 11501696 11504995 11505197 19
1 1162717 1162999 1163731 1164054 2
1 11785574 11785753 11785604 11785772 10
1 11785821 11786100 11785956 11786108 3,6,15
1 11786197 11786378 11786348 11786586 20
1 11787381 11788496 11787761 11788523 11,17,20
1 12050794 12050945 12054728 12054825 4
1 12061801 12062175 12063845 12064123 10
1 12401092 12401294 12401101 12401305 20
1 12595185 12595476 12601218 12601476 1,3,4,5,6,7,8,11,12,13,14,16,17,18,19,20
1 12595218 12595302 12602481 12602574 6
1 124150 124415 126291 126473 13,15,19
1 12659027 12659248 12659128 12659328 1,9,19
1 12674558 12674853 12679635 12679865 14
1 12930604 12930922 12933254 12933646 6
1 13334296 13334583 13334746 13335070 4
1 133320 133577 134061 134331 4
1 1354433 1354765 1354859 1355182 5
1 13711544 13711634 13711659 13711822 9,15,19
1 13784416 13784694 13784539 13784837 13
